기관 명,모델명,시리얼,구분,초미세먼지(㎍/㎥),미세먼지(㎍/㎥),기온(℃),상대습도( %),풍향(°),풍속(m/s),돌풍 풍향(°),돌풍 풍속(m/s),조도(lux),자외선(UVI),소음(dB),진동_x(g),진동_y(g),진동_z(g),진동_x 최대(g),진동_y 최대(g),진동_z 최대(g),흑구 운도(℃),초미세먼지 보정(㎍/㎥),미세먼지 보정(㎍/㎥),전송시간,등록일자
서울시,SDOT001,OC3CL200031,1,0,1,16.8,50,,,,,,,52,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200030,1,1,2,15.1,64,,,,,,,56,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200025,1,2,3,17,44,,,,,,,49,,,,,,,,3,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200027,1,1,2,16.7,43,,,,,,,65,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200029,1,12,18,17,53,,,,,,,57,,,,,,,,20,32,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200028,1,3,5,17.1,47,,,,,,,60,,,,,,,,5,8,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200023,1,3,5,16.9,50,,,,,,,59,,,,,,,,4,7,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200024,1,0,2,16.9,49,,,,,,,60,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200026,1,0,0,17,44,,,,,,,63,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200020,1,0,0,16.7,52,,,,,,,68,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200022,1,0,1,16.3,52,,,,,,,65,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200019,1,0,1,16.5,50,,,,,,0,57,,,,,,,13.2,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200021,1,2,3,16.6,49,,,,,,,63,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200018,1,0,2,17,51,,,,,,0,47,,,,,,,13.8,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200016,1,1,2,17.2,51,,,,,,0,49,,,,,,,13.9,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200014,1,0,1,17.3,50,,,,,,1.3,53,,,,,,,14,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200017,1,1,2,16.8,54,,,,,,0,62,,,,,,,13.8,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200013,1,0,1,16.3,53,,,,,,0,46,,,,,,,13.3,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200012,1,1,2,17,49,,,,,,0,58,,,,,,,13.7,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200011,1,0,1,21.6,88,,,,,,1.3,45,,,,,,,18.9,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200052,1,0,1,16.6,56,,,,,,,59,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200050,1,1,2,16.1,57,,,,,,,55,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200049,1,0,1,15.2,66,,,,,,,54,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200051,1,0,2,16.5,53,,,,,,,48,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200048,1,2,3,16.9,52,,,,,,,52,,,,,,,,3,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200045,1,1,3,16.3,44,,,,,,,53,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200046,1,0,1,17.2,47,,,,,,,67,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200047,1,1,2,16.8,49,,,,,,,54,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200044,1,2,4,17.1,49,,,,,,,55,,,,,,,,3,6,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200040,1,0,1,15.9,52,,,,,,,48,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200043,1,16,24,17,49,,,,,,,66,,,,,,,,14,26,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200037,1,0,1,16.2,51,,,,,,,48,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200042,1,1,2,17.2,47,,,,,,,36,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200039,1,0,1,15.2,62,,,,,,,51,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200036,1,0,1,17,48,,,,,,,58,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200038,1,0,1,16.1,52,,,,,,,47,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200033,1,0,1,16.6,55,,,,,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200034,1,1,3,17.5,49,,,,,,,62,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200035,1,0,1,16.9,48,,,,,,,68,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200032,1,0,1,17,54,,,,,,,57,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200072,1,0,1,16,55,,,,,,,49,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200069,1,0,1,16.4,42,,,,,0,0,52,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200071,1,0,1,16.4,56,,,,,,,61,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200070,1,0,1,16.7,53,,,,,,,57,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200065,1,0,0,15.9,57,,,,,0,0,52,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200066,1,0,0,16.6,53,,,,,0,0,51,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200068,1,0,1,16,45,,,,,0,1.3,59,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200067,1,0,1,16.7,55,,,,,2330,1.3,49,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200063,1,1,2,15.6,63,,,,,0,0,51,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200064,1,1,2,15.6,46,,,,,0,0,47,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200062,1,0,1,16.6,57,,,,,128,0,51,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200061,1,0,0,15.6,61,,,,,0,0,52,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200056,1,0,1,16.1,61,,,,,,,62,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200060,1,0,0,16.2,54,,,,,0,1.3,53,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200055,1,0,0,16.4,53,,,,,,,65,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200059,1,0,1,17.1,49,,,,,,,64,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200058,1,0,0,17.2,49,,,,,,,59,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200057,1,0,1,17.2,49,,,,,,,55,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200053,1,0,1,15.5,50,,,,,,,54,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200054,1,1,2,16.5,56,,,,,,,52,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200080,1,0,1,16.1,56,,,,,0,,57,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200079,1,1,2,16.5,52,,,,,,,62,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
